Country,Indices,Last,High,Low,Chg.,Chg%,Date/Time
Czech Republic,PX,"1,558.96","1,562.81","1,547.79",+12.07,+0.78%,12/04
Czech Republic,FTSE Czech Republic,"1,624.18","1,624.18","1,624.18",+0.00,+0.00%,12/04
Czech Republic,OETOB Czech Traded (CZK),"1,818.31","1,823.28","1,814.62",-2.71,-0.15%,10:22:35
Czech Republic,OETOB Czech Traded (EUR),"1,951.79","1,959.45","1,949.83",-1.57,-0.08%,10:24:00
Czech Republic,OETOB Czech Traded (USD),"2,074.28","2,088.35","2,073.01",-2.24,-0.11%,10:24:00
Czech Republic,PX-GLOB,"2,018.84","2,018.84","2,018.84",+20.89,+1.05%,12/04
Denmark,OMXC20,"2,648.05","2,668.66","2,641.14",+1.49,+0.06%,10:59:59
Denmark,OMXC25,"1,911.22","1,921.99","1,908.53",+5.28,+0.28%,11:00:00
Denmark,OMX Copenhagen All shares,"3,467.91","3,491.05","3,461.94",+2.34,+0.07%,11:00:34
Denmark,OMX Copenhagen Benchmark,"4,263.55","4,294.72","4,254.77",+3.35,+0.08%,11:00:34
Denmark,OMX Copenhagen Mid Cap,888.51,895.51,888.51,-0.06,-0.01%,11:00:34
Denmark,OMX Copenhagen Small Cap,523.94,528.24,523.08,-1.67,-0.32%,11:00:34
Ecuador,Guayaquil Select,147.45,147.45,147.45,+0.00,+0.00%,11/04
Ecuador,Ecuador General Adj,"1,142.39","1,142.39","1,142.39",0.00,0.00%,11/04
Egypt,EGX 30,"29,616.47","29,664.30","28,130.53",+1112.72,+3.90%,08:16:59
Egypt,EGX 70,"6,696.15","6,696.15","6,465.12",+154.63,+2.36%,08:16:59
Egypt,S&P/ESG Egypt,684.76,684.76,684.76,-1.79,-0.26%,08/04
Egypt,EGX 30 Capped,"36,367.17","36,367.17","34,401.59",+1422.06,+4.07%,08:16:59
Estonia,Tallinn SE General,"1,791.02","1,799.62","1,784.28",+9.21,+0.52%,12/04
Finland,OMX Helsinki 25,"4,425.86","4,486.58","4,422.72",-25.42,-0.57%,11:29:59
Finland,OMX Helsinki 25 Growth,"6,758.58","6,851.21","6,753.79",-31.50,-0.46%,11:29:59
Finland,OMX Helsinki,"9,837.99","9,966.82","9,836.85",-65.22,-0.66%,11:29:34
Finland,OMX Helsinki Benchmark,52.23,52.93,52.22,-0.30,-0.57%,11:29:34
Finland,OMX Helsinki Cap PI,"7,249.89","7,339.75","7,249.17",-44.25,-0.61%,11:29:34
Finland,OMX Helsinki Mid Cap,394.82,397.47,394.72,-1.19,-0.30%,11:29:34
Finland,OMX Helsinki Small Cap PI,471.12,473.38,469.09,-0.55,-0.12%,11:29:34
France,CAC 40,"8,045.11","8,126.38","8,028.84",+34.28,+0.43%,11:35:45
France,CAC All Shares,"9,601.04","9,745.02","9,567.52",-37.21,-0.39%,12/04
France,CAC All-Tradable,"5,928.36","6,008.95","5,907.37",-11.14,-0.19%,12/04
France,CAC Large 60,"8,603.65","8,719.21","8,571.71",-15.12,-0.18%,12/04
France,CAC Mid & Small,"14,267.59","14,499.18","14,256.06",-54.35,-0.38%,12/04
France,CAC Mid 60,"14,640.46","14,883.44","14,628.06",-50.16,-0.34%,12/04
France,CAC Next 20,"11,101.32","11,271.69","11,074.40",-53.23,-0.48%,12/04
France,CAC Small,"11,739.13","11,902.07","11,729.78",-87.55,-0.74%,12/04
France,EuroNext 100,"1,521.43","1,537.75","1,516.62",+3.34,+0.22%,12/04
France,Next 150,"3,360.40","3,400.88","3,355.19",+0.32,+0.01%,12/04
France,SBF 120,"6,059.85","6,142.22","6,038.28",-11.19,-0.18%,12/04
Germany,DAX,"18,009.50","18,195.15","17,972.05",+105.35,+0.59%,11:43:36
Euro Zone,Euro Stoxx 50,"4,983.65","5,035.45","4,972.05",+28.64,+0.58%,11:35:00
Germany,Classic All Share,"9,170.15","9,293.97","9,167.57",-54.59,-0.59%,11:28:00
Germany,Midcap,"26,431.89","26,831.75","26,410.89",-145.71,-0.55%,11:28:36
Germany,Technology All Share,"3,939.43","3,981.78","3,927.57",-10.08,-0.26%,11:28:00
Germany,HDAX,"9,602.73","9,709.62","9,593.45",+26.34,+0.28%,11:28:00
Germany,Prime All Share,"7,093.02","7,171.03","7,076.21",+16.81,+0.24%,11:28:00
Germany,SDAX,"14,258.98","14,404.83","14,239.97",-89.49,-0.62%,11:28:00
Germany,TecDAX,"3,331.54","3,368.44","3,320.36",+5.28,+0.16%,11:28:36
Greece,Athens General Composite,"1,390.69","1,397.33","1,375.44",-9.92,-0.71%,10:19:31
Greece,FTSE/Athex 20,"3,372.55","3,390.31","3,334.05",-23.19,-0.68%,10:19:31
Hong Kong,FTSE China 50,"11,144.86","11,174.42","11,023.41",-51.95,-0.46%,01:00:00
